fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,9.24,67.71822345199622,-0.9834356307983398,-0.1509365260135382,,,,,184.35112379257788,0.4589319672969459,,,,,1.114450226,0.652671755,0.461778471,0.356870229,0.295801526,0.340136054,148,641,524,100,116,37,81,342,187,106,44,0,7,104,34,54,0.084243369,0.162246489,,,6.494204044342041,-0.1731188947438084,0.0,0.0,18.0,0.0,,0.40933333,0.57855823,0.81355932,0.94728435,0.48088889,,
,5.47,20.496708250719905,44.262210845947266,-4.785169821232557,,,,,135.15047022053278,0.3857544726562835,,,,,0.896066269,0.52259332,0.373472949,0.30058939,0.22200393,0.305882352,145,573,509,68,87,23,66,266,153,87,42,1,5,57,4,64,0.111692844,0.099476439,,,0.8361243009567261,-1.6073176453697111,0.0,0.0,8.0,34.459999084472656,,0.45995204,0.65696466,0.76452599,0.90981013,0.46139089,,
,9.04,37.61431970543102,21.792009115219116,7.184703748673201,,,,,134.2888947137067,0.3885154261582159,,,,,0.915023497,0.535420098,0.379603399,0.291598023,0.243822075,0.30125523,159,707,607,113,104,33,78,325,177,99,41,4,14,64,14,104,0.147100424,0.090523338,,,1.415239691734314,-2.1483162167110463,0.0,0.0,31.0,0.0,,0.43764087,0.58801498,0.71842105,0.91719745,0.50150263,,
,6.85,54.07325635273515,1.596877098083496,7.224122317042202,,,,,156.12499961352094,0.4169365138137911,,,,,0.986335875,0.566787003,0.419548872,0.312274368,0.254512635,0.341232227,159,665,554,114,106,29,79,314,173,94,46,4,18,99,18,108,0.162406015,0.14887218,,,6.908751964569092,1.8436361272467137,0.0,0.0,15.0,0.0,,0.46320523,0.7277677,0.57401813,0.85162095,0.45053148,,
,6.73,44.84701071669623,7.556331217288971,6.305868081049994,,,,,144.30653426370975,0.4029960168732537,,,,,0.939609531,0.539898132,0.399711399,0.300509337,0.239388795,0.328767123,153,693,589,125,67,33,71,318,177,106,34,4,35,92,9,122,0.176046176,0.132756132,,,4.843185901641846,0.5846831127021472,0.0,0.0,-3.0,0.0,,0.40050469,0.58464849,0.64864865,0.88711656,0.50252343,,
,5.89,38.516948239868334,10.073379635810852,10.085806808434429,,,,,130.97909957866435,0.3759350469272212,,,,,0.876073931,0.501577287,0.374496644,0.268138801,0.233438486,0.289640591,157,745,634,101,90,33,77,318,170,93,39,5,38,98,14,130,0.174496644,0.131543624,,,3.7619996070861816,0.586566278539209,0.0,0.0,-3.0,0.0,,0.41550017,0.60625,0.71511628,0.88774341,0.49163537,,
,3.93,11.196001713278363,41.06097289919853,1.4207436991855502,,,,,111.98095125373648,0.349554226870106,,,,,0.780637083,0.396021699,0.384615384,0.28028933,0.115732369,0.309368191,155,650,553,87,69,13,38,219,155,117,25,0,18,90,8,83,0.127692307,0.138461538,,,2.8357203006744385,1.6563434849442746,0.0,0.0,2.0,30.40999984741211,,0.39806996,0.58137774,0.68468468,0.87890625,0.53116204,,
,6.96,35.27146390489945,14.759944677352903,9.75173826981336,,,,,128.7970319641592,0.374663719379833,,,,,0.875886524,0.5,0.375886524,0.283828382,0.216171618,0.296523517,161,706,606,116,112,27,72,303,172,100,40,5,25,92,13,96,0.135977337,0.130311614,,,5.12432336807251,1.1680037152972282,0.0,0.0,17.0,0.0,,0.4159292,0.61301084,0.75433526,0.91564626,0.46133128,,
,7.33,49.4826360095672,4.568292140960693,-0.402860471047461,,,,,174.42339377987125,0.445473058228327,,,,,1.044069343,0.57403189,0.470037453,0.364464692,0.209567198,0.383333333,128,534,439,82,75,22,47,252,160,113,24,1,4,90,16,61,0.114232209,0.168539325,,,3.6875123977661137,-0.7511178624541337,0.0,0.0,10.0,0.0,,0.4,0.64439655,0.725,0.85451505,0.48970976,,
,6.85,38.32704814113137,8.200007438659668,-1.3596646401565522,,,,,142.9579692075007,0.3961969047376554,,,,,0.924022515,0.533546325,0.39047619,0.301916932,0.231629393,0.320987654,160,736,626,115,124,33,77,334,189,112,42,2,15,94,5,118,0.160326086,0.127717391,,,4.199723720550537,-1.0078358859070535,0.0,0.0,5.0,0.0,,0.44812985,0.65140325,0.69587629,0.89795918,0.47776994,,
