fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,10.17,86.86785086323142,-4.65432071685791,-2.5234187291935086,,,,,196.55092591343185,0.5086489549049964,,,,,1.171972974,0.708955223,0.463017751,0.322761194,0.386194029,0.301265822,154,684,536,163,142,54,91,380,173,82,29,8,4,137,,87.0,0.127192982,0.200292397,,,,,,,,,2.0,,,,,,,
,9.49,75.98611354680084,-2.65432071685791,-5.152801279909909,,,,,188.54376108041515,0.4951973553865291,,,,,1.115160356,0.647686832,0.467473524,0.37366548,0.274021352,0.392703862,154,677,562,139,142,27,87,364,210,123,47,13,4,95,,69.0,0.101920236,0.140324963,,,,,,,,,4.0,,,,,,,
,8.93,78.60849367257619,-6.679012298583984,-0.1526678008958697,,,,,193.17525359046937,0.5056843438533821,,,,,1.13000374,0.631687242,0.498316498,0.386831275,0.244855967,0.393867924,140,619,486,99,94,21,70,307,188,118,42,7,5,107,,41.0,0.066235864,0.17285945,,,,,,,,,-11.0,,,,,,,
,7.5,52.283455674714695,2.512345790863037,1.064160461071879,,,,,171.80264162031577,0.4723072077865901,,,,,1.055849682,0.614035087,0.441814595,0.379385964,0.234649123,0.371428571,135,527,456,80,102,17,63,280,173,110,36,10,16,48,,19.0,0.03605313,0.091081593,,,,,,,,,8.0,,,,,,,
,0.0,42.266584772104025,18.709876537323,2.151173632591963,,,,,193.4401171143675,0.4844105454458706,,,,,1.103381641,0.688888888,0.414492753,0.358730158,0.33015873,,78,345,315,82,81,22,55,217,113,58,28,5,13,25,,,,0.072463768,,,,,,,,,14.0,,,,,,,
,6.81,51.08845197229294,-1.5679011344909668,0.026931001804769,,,,,153.646338967565,0.4505640895743119,,,,,0.992418059,0.546511627,0.445906432,0.370431893,0.176079734,0.374137931,152,697,602,142,86,6,75,329,223,148,50,19,6,77,,16.0,0.022955523,0.110473457,,,,,,,,,5.0,,,,,,,
,7.32,47.1887410604036,-2.65432071685791,0.1887879110872745,,,,,149.8175179739714,0.4439664437288371,,,,,0.988824473,0.575235109,0.413589364,0.377742946,0.197492163,0.373158756,154,697,638,104,108,13,80,367,241,161,47,20,17,39,,14.0,0.020086083,0.055954088,,,,,,,,,4.0,,,,,,,
,6.07,31.175237146354057,15.722222328186035,2.0003412310034037,,,,,131.09794554608325,0.4053094864422995,,,,,0.894194011,0.510835913,0.383358098,0.357585139,0.153250774,0.355155482,153,687,646,99,107,14,62,330,231,169,39,9,15,25,,21.0,0.030567685,0.036390101,,,,,,,,,11.0,,,,,,,
,5.62,53.32612308978384,-15.395061492919922,1.1431496180593967,,,,,157.29043355443198,0.4537631933505718,,,,,1.030010683,0.628472222,0.401538461,0.324652777,0.303819445,0.31771894,149,667,576,123,136,31,93,362,187,94,42,20,10,71,,54.0,0.08095952,0.106446776,,,,,,,,,-9.0,,,,,,,
,5.36,1.8667269688155228,34.19753074645996,0.8553562136366963,,,,,101.18308290400329,0.3546080233475812,,,,,0.774708657,0.435754189,0.338954468,0.270018621,0.165735568,0.274633123,150,626,537,73,77,14,55,234,145,90,35,6,8,56,,46.0,0.073482428,0.089456869,,,,,,,,,25.0,,,,,,,
