fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,8.76,2.349500662124772,,2.1994233936323506,2.7075786499646144,,0.2357985,0.0375134,0.1982851,233.2,32,32,,,,0.509259259,0.385164042971274,0.2981927710843373,0.78111588,0.05050505,0,0.232662192393736,1.03994291602244,61.08920839897636,56.02469448517191,2.7774064567880163,,,4.40816593170166,0.1334243960156964,220,35,4,10,25,8,1
,6.75,2.2757141865010206,,2.4682434529285033,2.843920128827493,,0.27192982,0.05921053,0.2127193,233.1,33,33,,,,0.432246998,0.5785714033477172,0.2685810810810811,0.78571429,0.066666666,0,0.2035087719298245,0.9771428145428112,62.42417652710416,64.61904852089333,2.800881851599461,,,3.569787979125977,-0.6546848540475021,248,54,3,15,25,5,2
,8.49,2.398280907148603,,2.6041828289708153,2.6837289044219497,,0.25869565,0.04565217,0.21304348,232.2,32,32,,,,0.462903225,0.6962751020754009,0.2905844155844156,0.81437671,0.089552238,0,0.2259174311926605,1.0272206752840791,62.357540262870806,66.48427839001043,2.714920320210714,,,4.160387992858887,0.9986915619683732,238,42,6,18,25,6,6
,8.62,2.4023902922009293,,2.9935137777592944,3.1218584037404464,,0.25799794,0.05882353,0.19917441,251.0,34,34,,,,0.402457757,0.8605577166092881,0.2362204724409448,0.80339321,0.08759124,0,0.1914191419141914,0.9203186691516,57.563612100570296,73.85759129039756,2.981457560179804,,,5.006192207336426,-1.0287844937542392,250,57,3,24,28,4,2
,4.15,3.17202783663971,,2.983428245614669,3.294607720146532,,0.20146905,0.03462749,0.16684155,238.1,35,34,,,,0.42510699,0.7552447230094548,0.2716927453769559,0.71493213,0.075187969,0,0.2306010928961748,1.0237761800794831,81.05386691262605,75.59623381081859,3.333945815403407,,,4.062966018915176,1.074162708010121,192,33,5,20,26,4,3
,6.43,2.9957863884492344,,2.8779143819904074,3.0212580585717195,,0.23350254,0.06192893,0.1715736,237.1,33,33,,,,0.466467958,0.6446628937169239,0.317910447761194,0.76951131,0.083743842,0,0.2508178844056706,1.2261235429517965,71.42545512872981,68.71475141876779,3.1287687096653514,,,2.82899808883667,-0.1505072928475384,230,61,7,17,22,3,1
,6.93,2.4059403863550957,,3.1993608110738516,3.7965860016057222,,0.21382289,0.06047516,0.15334773,235.2,33,33,,,,0.324695121,0.7637905988428875,0.2496147919876733,0.82629108,0.062695924,0,0.209919261822376,1.0099009029144843,61.47826624432236,81.00246240202573,3.664383064355196,,,5.034135818481445,0.920580239393126,198,56,3,20,28,4,2
,5.09,2.8289673099644417,,3.0161412945728263,3.609445904657147,,0.16685714,0.04228571,0.12457143,216.1,32,31,,,,0.475482912,0.4576270648471891,0.2720478325859491,0.7325684,0.050925925,0,0.2336561743341404,1.0631739890389242,72.70440555254685,76.60950530502909,3.656658558817,,,2.1801438331604004,-0.2170556445071221,146,37,12,11,20,3,0
,3.55,3.4664763867414665,,3.132376297718326,3.1505708569596695,,0.23029046,0.06950207,0.16078838,233.2,33,33,,,,0.501533742,0.7318116816454207,0.3066255778120185,0.72720422,0.095,0,0.2449438202247191,1.2196861360757012,90.6512497080702,80.36562101896652,3.2110379229200023,,,1.1525559425354004,-0.5492701081146052,222,67,7,19,22,5,0
,6.43,2.7916666666666665,,3.053164063559638,3.0205027038714403,,0.22823529,0.05176471,0.17647059,216.0,32,31,,,,0.523076923,0.7916666666666666,0.2551020408163265,0.78369906,0.099476439,0,0.2109862671660424,0.9861111111111112,72.58593688849915,78.08661915064717,3.0192791998116624,,,3.92429581284523,0.4556282706549828,194,44,5,19,24,3,0
,4.9,2.941790910781591,,3.2403116491266344,3.4114747735388864,,0.22513661,0.08087432,0.1442623,223.1,34,34,,,,0.492682926,0.6447760900343213,0.2873563218390804,0.73634204,0.081632653,0,0.2298435619735258,1.1865671101326052,67.96498322817625,77.55026844691328,3.435391834047023,,,2.352195978164673,1.1686853975013929,206,74,10,16,23,3,1
,4.26,3.208333106688527,,3.2800158974238074,3.641595902666543,,0.17400881,0.0715859,0.10242291,216.0,34,33,,,,0.550834597,0.4583333009555039,0.3016591251885369,0.72901325,0.0625,0,0.2536057692307692,1.277777687512314,81.59205912825925,82.58001047844922,3.6750402597085934,,,1.540246170014143,0.0254378291884742,158,65,11,11,22,1,0
,5.78,2.8155082511296605,,3.4184344461959726,3.2468587689729476,,0.23076923,0.06666667,0.16410256,249.1,33,33,,,,0.462349397,0.9385027503765536,0.2584097859327217,0.79615048,0.110638297,0,0.2154696132596685,1.042780833751726,72.52096490502501,86.37005457081057,3.2780597825572073,,,4.0260138511657715,1.2555271077544037,225,65,5,26,25,11,4
,3.31,3.4903415950716608,,3.319591324446905,3.3158932985478677,,0.23747277,0.06862745,0.16884532,224.1,34,34,,,,0.443181818,0.8826151159951326,0.2805280528052805,0.73327616,0.096916299,0,0.226950354609929,1.1367012857513072,89.90310727066097,83.89870942222082,3.258452875481306,,,-0.1353180557489395,-1.998940137264445,218,63,9,22,21,0,0
,2.72,3.3181815624675126,,2.954679220523801,3.1902288514256187,,0.23480334,0.07508939,0.15971395,198.0,31,31,,,,0.463195691,0.6363635873225366,0.3060498220640569,0.69707401,0.076923076,0,0.240620957309185,1.2575756606612034,83.80322474378154,75.74036626565129,3.305258071921499,,,0.8662059903144836,-0.7552230872807448,197,63,3,14,20,2,0
,3.08,2.88270670077201,,2.9126043334824865,3.7789470130867047,,0.19735391,0.06945976,0.12789416,221.2,33,33,,,,0.417061611,0.3654135254499731,0.2596599690880989,0.70642978,0.036585365,0,0.2119760479041916,1.0827067420739942,80.23691803365249,78.58171569468774,3.7710708413802574,,,1.3154799938201904,-1.853150198207355,179,63,9,9,26,1,0
,3.3,3.3222658230224744,,2.861323776002973,3.2968658803901114,,0.17826087,0.03623188,0.14202899,170.2,25,25,,,,0.467289719,0.5800781595753527,0.295668549905838,0.67567568,0.063583815,0,0.2526315789473684,1.1308594424044751,83.8065601859774,72.74112758327253,3.478986507819447,,,0.4021060466766357,-0.7795273334726827,123,25,0,11,16,5,1
,3.49,3.4508427705838227,,3.0633076349091555,3.3143587939631205,,0.19176707,0.05522088,0.13654619,237.1,34,34,,,,0.466206896,0.6067415860367161,0.3118131868131868,0.73153409,0.07511737,0,0.2598930481283422,1.255618004437093,93.31561775724695,81.49743917876758,3.493640041968727,,,0.5486561059951782,0.0890307724209329,191,55,6,16,21,4,2
,4.84,2.878378180537993,,3.2190799661623517,3.4985362459876543,,0.22,0.06111111,0.15888889,222.0,33,33,,,,0.38585209,0.7702702173270686,0.2697899838449111,0.79230081,0.077235772,0,0.2224880382775119,1.0855855109697283,72.2100073382396,82.76239382673431,3.435393054191461,,,4.6415581703186035,1.1836094064212723,198,55,9,19,24,1,1
,1.9,3.210097640094132,,2.668708770215846,3.103416457536776,,0.22630332,0.05450237,0.17180095,204.2,33,33,,,,0.459691252,0.5276872833031451,0.3220338983050847,0.72396274,0.061538461,0,0.2547288776796974,1.2117263542516663,89.34947879341158,71.92970754674984,3.1711295957198944,,,0.8243719339370728,-0.2932342722177788,191,46,5,12,23,0,0
,1.49,3.4864864864864864,,3.2821430425386176,3.78623397625513,,0.1834962,0.05428882,0.12920738,222.0,33,33,,,,0.417404129,0.6891891891891891,0.2954209748892171,0.70461783,0.064150943,0,0.2514484356894554,1.2027027027027026,87.46564870318969,84.39971836941531,3.772699864453807,,,0.9941022396087646,-0.0253651957672724,169,50,8,17,21,3,0
,1.97,3.4734134699829906,,3.16432282458118,3.516175020645037,,0.23153942,0.077597,0.15394243,194.1,31,31,,,,0.428037383,0.7409948735963713,0.2841121495327103,0.71428571,0.072727272,0,0.2282608695652173,1.1835334786608709,98.71084935639855,84.98503422256633,3.470430022264985,,,0.1943800449371338,-0.3602232599863908,185,62,1,16,20,0,0
,3.99,3.3931776449267828,,3.515511945604618,3.8502588581602946,,0.16321244,0.0738342,0.08937824,185.2,31,30,,,,0.474605954,0.6301615626292597,0.2904347826086956,0.7233849,0.070652173,0,0.2521008403361344,1.276481114043885,78.39349182923397,84.06426834373329,4.076819697063597,,,1.8753140978515148,0.1592694319956471,126,57,1,13,20,0,0
