Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Mickey Mantle,1008082,118258,OF,NYY,9.76889146814324,,9.53,64.28976638548701,9.228395164012907,1.841518571600318,,,,,179.30647293320982,0.4514350517401619,,,,,1.042036178,0.611218568,0.43081761,0.305609284,0.305609284,0.313471502,147,638,517,121,99,37,73,316,158,85,25,11,8,113,6,97,0.152037617,0.177115987,,,,,,,,,10.0,,,,,,,,0.0
Willie Mays,1008315,118495,OF,NYG,9.032400410083511,,9.17,63.75396941987478,6.061728477478027,3.737215230241418,,,,,171.7437848341773,0.4502570821451451,,,,,1.058620689,0.658620689,0.4,0.318965517,0.339655172,0.281512605,152,670,580,123,127,51,82,382,185,103,18,13,24,79,13,60,0.089552238,0.117910447,,,,,,,,,7.0,,,,,,,,0.0
Ernie Banks,1000512,110533,SS,CHC,7.7873067035788655,,8.14,34.940739008601334,23.506173133850098,1.020459188148379,,,,,142.05459846634022,0.4058668887242674,,,,,0.940838821,0.595637583,0.345201238,0.295302013,0.30033557,0.273291925,154,646,596,98,117,44,82,355,176,94,29,9,9,45,6,72,0.111455108,0.069659442,,,,,,,,,14.0,,,,,,,,0.0
Duke Snider,1012230,122488,OF,BRO,7.6935607901303396,,8.55,52.06573726491298,5.09876549243927,-0.5035819076001644,,,,,164.4771382743475,0.4447504199686504,,,,,1.045818273,0.628252788,0.417565485,0.308550185,0.319702603,0.29879518,148,653,538,126,136,42,82,338,166,84,34,6,9,104,19,87,0.13323124,0.159264931,,,,,,,,,6.0,,,,,,,,0.0
Eddie Mathews,1008236,118416,3B,MIL,7.523786273238597,,7.23,50.80445276914979,5.691357970237732,-0.4895243253558874,,,,,166.69177001324192,0.4317593685719145,,,,,1.014210534,0.601202404,0.41300813,0.288577154,0.31262525,0.281420765,141,616,499,108,101,41,69,300,144,75,23,5,3,109,20,98,0.159090909,0.176948051,,,,,,,,,4.0,,,,,,,,0.0
Al Kaline,1006678,116822,OF,DET,7.349102399912168,,8.24,45.83282027793356,2.4938273429870605,-1.360086426138878,,,,,156.14856640001506,0.4234856585394285,,,,,0.967357427,0.545918367,0.42143906,0.340136054,0.205782313,0.339215686,152,681,588,121,102,27,59,321,200,141,24,8,6,82,12,57,0.08370044,0.12041116,,,,,,,,,10.0,,,,,,,,0.0
Ted Williams,1014040,124341,OF,BOS,7.118004670488575,,6.93,52.82960157804516,2.407407283782959,0.8612562604248524,,,,,200.974541763694,0.5047392830252647,,,,,1.199527877,0.703125,0.496402877,0.35625,0.346875,0.31617647,98,417,320,77,83,28,52,225,114,62,21,3,2,91,17,24,0.057553956,0.218225419,,,,,,,,,7.0,,,,,,,,0.0
Richie Ashburn,1000335,110349,OF,PHI,6.118351352332511,,6.29,36.86092175034748,5.1358025670051575,-0.903723554685712,,,,,146.96627591666885,0.4086902090107066,,,,,0.897003383,0.448405253,0.44859813,0.337711069,0.110694184,0.357575757,140,644,533,91,42,3,44,239,180,136,32,9,12,105,5,36,0.055900621,0.163043478,,,,,,,,,6.0,,,,,,,,0.0
Hank Aaron,1000001,110001,OF,MIL,5.874904418317334,,6.23,37.50451715547982,1.5425457954406738,0.7345605846494436,,,,,144.28514327583014,0.3963441975631538,,,,,0.906128507,0.539867109,0.366261398,0.313953488,0.225913621,0.312741312,153,665,602,105,106,27,73,325,189,116,37,9,3,49,5,61,0.091729323,0.07368421,,,,,,,,,7.0,,,,,,,,0.0
Johnny Logan,1007705,117867,SS,MIL,5.838537802662881,,5.95,17.849550640172207,20.506173133850098,-0.0191038716584444,,,,,121.04599784778024,0.3596131751260427,,,,,0.801956565,0.442016806,0.359939759,0.297478991,0.144537815,0.308851224,154,680,595,95,83,13,55,263,177,122,37,5,3,58,1,58,0.085294117,0.085294117,,,,,,,,,11.0,,,,,,,,0.0
Stan Musial,1009405,119602,1B,STL,5.798963399661239,,6.17,42.39348808026924,-3.8801565170288086,-0.0393877699971199,,,,,151.8066141646135,0.4207553315350389,,,,,0.974093178,0.565836298,0.40825688,0.318505338,0.24733096,0.295546558,154,656,562,97,108,33,68,318,179,111,30,5,5,80,19,39,0.059451219,0.121951219,,,,,,,,,5.0,,,,,,,,0.0
